,source_name,data_name,lineage_id,cell_id,predecessor_id,frame_idx,cell_num,cell_area,time_min,time_h,num_nuclei,total_green_raw,norm_green_raw,norm_green_bg_cor,total_red_raw,norm_red_raw,norm_red_bg_cor,nuclear_area1,nuclear_green_raw1,norm_nuclear_green_raw1,norm_nuclear_green_bg_cor1,norm_nuclear_red_raw1,norm_nuclear_red_bg_cor1,dna_area1,dna_green_raw1,norm_dna_green_raw1,norm_dna_green_bg_cor1,dna_red_raw1,norm_dna_red_raw1,norm_dna_red_bg_cor1,nuclear_area2,nuclear_green_raw2,norm_nuclear_green_raw2,norm_nuclear_green_bg_cor2,nuclear_red_raw2,norm_nuclear_red_raw2,norm_nuclear_red_bg_cor2,dna_area2,dna_green_raw2,norm_dna_green_raw2,norm_dna_green_bg_cor2,dna_red_raw2,norm_dna_red_raw2,norm_dna_red_bg_cor2,nuclear_area,nuclear_green_raw,norm_nuclear_green_raw,norm_nuclear_green_bg_cor,nuclear_red_raw,norm_nuclear_red_raw,norm_nuclear_red_bg_cor,dna_area,dna_green_raw,norm_dna_green_raw,norm_dna_green_bg_cor,dna_red_raw,norm_dna_red_raw,norm_dna_red_bg_cor,directory,mitosis_h
17,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,2a74d6f6-428f-4c6e-9f01-ee57deaf6370,ca8163ff-e87c-468d-baa2-76186b74bf2a,27,1,40.53085846,261,4.35,1,645167,15917.92092,9353.741524,1208346,29812.98807,18774.06942,5.248170561,338519,64502.28628,57938.10688,44164.34209,33125.42343,4.761754753,334144,70172.45056,63608.27116,204787,43006.62479,31967.70613,,,,,,,,,,,,,,,5.248170561,338519,64502.28628,57938.10688,231782,44164.34209,33125.42343,4.761754753,334144,70172.45056,63608.27116,204787,43006.62479,31967.70613,/mnt/d/2018-08-15-xi-ming/262,-0.833333333
18,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,e3835597-ae38-4759-a222-9090553e710a,2a74d6f6-428f-4c6e-9f01-ee57deaf6370,28,1,42.75088849,271,4.516666667,1,654480,15309.15551,8744.97611,1280519,29953.0383,18914.11964,6.195401346,330872,53406.06388,46841.88448,42508.30339,31469.38473,5.017763073,339303,67620.37088,61056.19148,217441,43334.25011,32295.33145,,,,,,,,,,,,,,,6.195401346,330872,53406.06388,46841.88448,263356,42508.30339,31469.38473,5.017763073,339303,67620.37088,61056.19148,217441,43334.25011,32295.33145,/mnt/d/2018-08-15-xi-ming/262,-0.666666667
19,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,4aa09860-1fe1-43a4-9785-57df1c7ed244,e3835597-ae38-4759-a222-9090553e710a,29,1,44.60990307,281,4.683333333,1,672038,15064.77158,8500.592181,1342497,30094.14743,19055.22878,5.747386786,333113,57959.03642,51394.85702,42421.19229,31382.27364,5.286571809,337007,63747.73902,57183.55962,227505,43034.50482,31995.58616,,,,,,,,,,,,,,,5.747386786,333113,57959.03642,51394.85702,243811,42421.19229,31382.27364,5.286571809,337007,63747.73902,57183.55962,227505,43034.50482,31995.58616,/mnt/d/2018-08-15-xi-ming/262,-0.5
20,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,805c95d5-4a5c-48d8-8714-dc5fe9cd8181,4aa09860-1fe1-43a4-9785-57df1c7ed244,30,1,44.40405474,291,4.85,1,664668,14968.63302,8404.45362,1357871,30579.88753,19540.96888,4.569748513,312212,68321.48402,61757.30462,45372.2999,34333.38125,5.158567649,342930,66477.75571,59913.57631,223934,43410.11211,32371.19346,,,,,,,,,,,,,,,4.569748513,312212,68321.48402,61757.30462,207340,45372.2999,34333.38125,5.158567649,342930,66477.75571,59913.57631,223934,43410.11211,32371.19346,/mnt/d/2018-08-15-xi-ming/262,-0.333333333
21,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,c51271d6-7585-41f0-9090-1007db485a20,805c95d5-4a5c-48d8-8714-dc5fe9cd8181,31,1,47.82820555,301,5.016666667,1,681190,14242.43273,7678.253328,1450298,30323.06948,19284.15083,4.697752673,303807,64670.70983,58106.53043,41913.2325,30874.31384,5.606582209,345200,61570.48753,55006.30813,226745,40442.64251,29403.72386,,,,,,,,,,,,,,,4.697752673,303807,64670.70983,58106.53043,196898,41913.2325,30874.31384,5.606582209,345200,61570.48753,55006.30813,226745,40442.64251,29403.72386,/mnt/d/2018-08-15-xi-ming/262,-0.166666667
22,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,0e335ceb-ff43-4943-ae37-86d1e93a1414,c51271d6-7585-41f0-9090-1007db485a20,32,1,47.91905227,311,5.183333333,2,681383,14219.45902,7655.279621,1490121,31096.6292,20057.71055,4.838557249,35828,7404.686594,840.5071951,42714.79893,31675.88027,2.713688193,133825,49314.80351,42750.62411,112144,41325.30786,30286.38921,2.496081121,121845,48814.51928,42250.33989,103612,41509.86887,30470.95021,3.148902337,157400,49985.6722,43421.4928,127781,40579.53735,29540.6187,7.33463837,157673,21497.03803,14932.85863,310290,42304.74419,31265.82554,5.86259053,291225,49675.13909,43110.95969,239925,40924.74117,29885.82252,/mnt/d/2018-08-15-xi-ming/262,0
23,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,b212a533-621f-4dfe-b3c7-9313cd720ae6,0e335ceb-ff43-4943-ae37-86d1e93a1414,33,1,48.25682429,321,5.35,2,691227,14323.92227,7759.742867,1539944,31911.4244,20872.50574,3.046499009,138937,45605.46371,39041.28431,46978.84345,35939.9248,2.841692353,139215,48990.17301,42425.99361,129621,45614.01584,34575.09719,2.752089441,147944,53756.97381,47192.79442,125082,45449.83101,34410.91236,3.046499009,163079,53529.96982,46965.79042,138172,45354.3558,34315.43715,5.79858845,286881,49474.28197,42910.10257,268203,46253.15322,35214.23456,5.888191362,302294,51339.0244,44774.845,267793,45479.67,34440.75134,/mnt/d/2018-08-15-xi-ming/262,0.166666667
24,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,a12ac2ee-eb43-4c09-96f0-e82d16897d95,b212a533-621f-4dfe-b3c7-9313cd720ae6,34,1,47.73639213,331,5.516666667,2,721020,15104.19971,8540.020307,1564699,32777.90654,21738.98789,3.456112321,166424,48153.52759,41589.34819,48679.8415,37640.92285,2.867293185,159223,55530.77057,48966.59117,135609,47295.12863,36256.20998,2.713688193,160891,59288.68336,52724.50396,129662,47780.72895,36741.8103,2.931295265,172423,58821.43709,52257.25769,137640,46955.35167,35916.43302,6.169800514,327315,53051.14797,46486.96857,297905,48284.38121,37245.46256,5.79858845,331646,57194.26424,50630.08484,273249,47123.365,36084.44635,/mnt/d/2018-08-15-xi-ming/262,0.333333333
25,262,262-1,a2201ffd-d276-4fc1-8286-0c19cf062e7f,490baaa3-ffd7-4b24-bd00-db14dc2acd54,a12ac2ee-eb43-4c09-96f0-e82d16897d95,35,1,48.5382031,341,5.683333333,2,794707,16372.81459,9808.635192,1614184,33255.94886,22217.0302,3.456112321,192131,55591.6539,49027.47451,50522.9529,39484.03425,2.700887777,181112,67056.46994,60492.29054,134308,49727.35304,38688.43439,2.675286945,169453,63340.12145,56775.94205,129852,48537.59716,37498.6785,3.110501089,206744,66466.46122,59902.28182,144698,46519.19285,35480.27419,6.131399266,361584,58972.50927,52408.32987,304465,49656.69121,38617.77255,5.811388866,387856,66740.67232,60176.49292,279006,48010.21003,36971.29138,/mnt/d/2018-08-15-xi-ming/262,0.5
26,262,262-1,f62db297-f597-4a95-93fa-51c86ba64533,f62db297-f597-4a95-93fa-51c86ba64533,490baaa3-ffd7-4b24-bd00-db14dc2acd54,36,2,26.09343608,351,5.85,1,440611,16885.89416,10321.71476,859538,32940.77474,21901.85608,3.468912737,208308,60049.93951,53485.76011,49676.6604,38637.74175,3.148902337,206228,65492.028,58927.8486,150351,47747.11436,36708.19571,,,,,,,,,,,,,,,3.468912737,208308,60049.93951,53485.76011,172324,49676.6604,38637.74175,3.148902337,206228,65492.028,58927.8486,150351,47747.11436,36708.19571,/mnt/d/2018-08-15-xi-ming/262,-2.166666667
